Domain,Difficulty,Question,A,B,C,D,Answer
Keywords,Beginner,Which statement uses the 'finally' keyword?,finish:,finally:,cleanup:,final:,finally:
Keywords,Beginner,Which statement uses the 'pass' keyword?,skip,halt,continue,pass,pass
Keywords,Beginner,Which statement uses the 'assert' keyword?,ensure x > 0,check x > 0,assert x > 0,assertTrue(x > 0),assert x > 0
Keywords,Beginner,Which statement uses the 'while' keyword?,while x < 5:,during x<5:,until x<5,loop while x<5,while x < 5:
Keywords,Beginner,Which statement uses the 'if' keyword?,check x > 0,when x > 0:,condition x > 0,if x > 0:,if x > 0:
Keywords,Beginner,Which statement uses the 'with' keyword?,open file as f,using open('file') as f:,with open file as f:,with open('file') as f:,with open('file') as f:
Keywords,Beginner,Which statement uses the 'continue' keyword?,pass,break,continue,skip,continue
Builtins,Beginner,Which built-in function returns a sorted list from an iterable?,len,set,sorted,map,sorted
Builtins,Beginner,Which built-in function invokes the built-in help system?,print,float,all,help,help
Builtins,Beginner,Which built-in function returns the length of an object?,any,map,open,len,len
Builtins,Beginner,Which built-in function returns True if all elements are true?,len,enumerate,all,float,all
Builtins,Beginner,Which built-in function converts a value to a string?,set,str,len,enumerate,str
Builtins,Beginner,Which built-in function converts a value to an integer?,float,sorted,any,int,int
Builtins,Beginner,Which built-in function returns True if all elements are true?,any,all,print,float,all
Builtins,Beginner,Which built-in function returns True if all elements are true?,int,zip,all,set,all
Builtins,Beginner,Which built-in function returns the absolute value of a number?,print,abs,open,float,abs
Builtins,Beginner,Which built-in function converts a value to a float?,float,reversed,dict,map,float
Builtins,Beginner,Which built-in function returns the smallest item?,sum,reversed,len,min,min
Builtins,Beginner,Which built-in function creates a tuple object?,str,tuple,any,dict,tuple
Builtins,Beginner,Which built-in function adds items in an iterable?,sum,float,dict,zip,sum
Builtins,Beginner,Which built-in function returns the absolute value of a number?,bool,int,abs,set,abs
Builtins,Beginner,Which built-in function creates a dictionary object?,tuple,any,dict,len,dict
Builtins,Beginner,Which built-in function converts a value to a float?,float,zip,range,max,float
Builtins,Beginner,Which built-in function converts a value to boolean?,bool,open,int,all,bool
Builtins,Beginner,Which built-in function converts a value to an integer?,any,zip,int,enumerate,int
Builtins,Beginner,Which built-in function returns the length of an object?,abs,len,reversed,dict,len
Builtins,Beginner,Which built-in function returns True if all elements are true?,all,float,max,sorted,all
Builtins,Beginner,Which built-in function opens a file?,max,min,filter,open,open
Builtins,Beginner,Which built-in function creates a sequence of numbers?,abs,filter,tuple,range,range
Builtins,Beginner,Which built-in function returns True if all elements are true?,max,int,all,str,all
Builtins,Beginner,Which built-in function returns the largest item?,zip,max,min,sorted,max
Builtins,Beginner,Which built-in function aggregates elements from multiple iterables?,min,sorted,zip,tuple,zip
Builtins,Beginner,Which built-in function returns a reverse iterator?,abs,reversed,bool,print,reversed
Builtins,Beginner,Which built-in function aggregates elements from multiple iterables?,zip,enumerate,list,max,zip
Builtins,Beginner,Which built-in function converts a value to a string?,min,str,dict,int,str
Builtins,Beginner,Which built-in function outputs text to the console?,print,min,sorted,tuple,print
Builtins,Beginner,Which built-in function aggregates elements from multiple iterables?,str,all,zip,float,zip
Builtins,Beginner,Which built-in function creates a set object?,sum,zip,set,enumerate,set
Builtins,Beginner,Which built-in function adds items in an iterable?,dict,sum,int,set,sum
Builtins,Beginner,Which built-in function creates a list object?,list,range,float,bool,list
Builtins,Beginner,Which built-in function invokes the built-in help system?,help,float,dict,map,help
Builtins,Beginner,Which built-in function returns the smallest item?,min,map,open,filter,min
Builtins,Beginner,Which built-in function creates a list object?,reversed,int,filter,list,list
Builtins,Beginner,Which built-in function returns the largest item?,max,reversed,any,list,max
Builtins,Beginner,Which built-in function filters items based on a function?,int,filter,map,min,filter
Builtins,Beginner,Which built-in function adds items in an iterable?,range,list,sum,zip,sum
Builtins,Beginner,Which built-in function returns True if all elements are true?,all,float,set,zip,all
Builtins,Beginner,Which built-in function returns True if any element is true?,any,dict,all,map,any
Builtins,Beginner,Which built-in function returns the absolute value of a number?,max,abs,reversed,list,abs
Builtins,Beginner,Which built-in function applies a function to all items?,enumerate,set,range,map,map
Builtins,Beginner,Which built-in function outputs text to the console?,sum,filter,range,print,print
Builtins,Beginner,Which built-in function aggregates elements from multiple iterables?,zip,map,max,bool,zip
Builtins,Beginner,Which built-in function returns the largest item?,sum,open,max,float,max
Builtins,Beginner,Which built-in function adds indexes to an iterable?,any,int,filter,enumerate,enumerate
Builtins,Beginner,Which built-in function filters items based on a function?,help,sorted,filter,max,filter
Builtins,Beginner,Which built-in function opens a file?,range,all,open,zip,open
Builtins,Beginner,Which built-in function invokes the built-in help system?,any,help,bool,max,help
Builtins,Beginner,Which built-in function applies a function to all items?,enumerate,int,sum,map,map
Builtins,Beginner,Which built-in function aggregates elements from multiple iterables?,zip,sorted,all,bool,zip
Builtins,Beginner,Which built-in function aggregates elements from multiple iterables?,abs,len,zip,int,zip
Builtins,Beginner,Which built-in function creates a tuple object?,float,tuple,str,int,tuple
Builtins,Beginner,Which built-in function filters items based on a function?,tuple,filter,any,range,filter
Builtins,Beginner,Which built-in function aggregates elements from multiple iterables?,int,str,zip,list,zip
Builtins,Beginner,Which built-in function outputs text to the console?,max,bool,tuple,print,print
Builtins,Beginner,Which built-in function returns the absolute value of a number?,sorted,abs,max,print,abs
Builtins,Beginner,Which built-in function returns a sorted list from an iterable?,bool,set,zip,sorted,sorted
Builtins,Beginner,Which built-in function applies a function to all items?,map,min,set,abs,map
Builtins,Beginner,Which built-in function returns the smallest item?,sum,min,print,tuple,min
Builtins,Beginner,Which built-in function filters items based on a function?,filter,max,sum,enumerate,filter
Builtins,Beginner,Which built-in function returns the smallest item?,min,zip,int,float,min
Builtins,Beginner,Which built-in function returns a reverse iterator?,abs,max,reversed,sum,reversed
Builtins,Beginner,Which built-in function converts a value to an integer?,int,dict,sorted,zip,int
Builtins,Beginner,Which built-in function creates a tuple object?,tuple,len,range,help,tuple
Builtins,Beginner,Which built-in function applies a function to all items?,enumerate,map,any,open,map
Builtins,Beginner,Which built-in function returns the smallest item?,help,min,float,all,min
Builtins,Beginner,Which built-in function converts a value to boolean?,tuple,print,filter,bool,bool
Builtins,Beginner,Which built-in function returns a reverse iterator?,str,zip,tuple,reversed,reversed
Builtins,Beginner,Which built-in function creates a list object?,any,print,list,tuple,list
Builtins,Beginner,Which built-in function creates a dictionary object?,any,dict,all,zip,dict
Builtins,Beginner,Which built-in function creates a dictionary object?,abs,len,all,dict,dict
Builtins,Beginner,Which built-in function filters items based on a function?,help,filter,any,zip,filter
Builtins,Beginner,Which built-in function returns the absolute value of a number?,abs,sum,open,enumerate,abs
Builtins,Beginner,Which built-in function creates a list object?,list,tuple,range,all,list
Builtins,Beginner,Which built-in function adds items in an iterable?,max,enumerate,sum,dict,sum
Builtins,Beginner,Which built-in function returns the smallest item?,zip,print,min,tuple,min
Builtins,Beginner,Which built-in function converts a value to a string?,str,bool,reversed,abs,str
Builtins,Beginner,Which built-in function returns the smallest item?,open,min,len,sorted,min
Builtins,Beginner,Which built-in function converts a value to a float?,bool,str,dict,float,float
Builtins,Beginner,Which built-in function returns True if all elements are true?,float,abs,len,all,all
Builtins,Beginner,Which built-in function returns a sorted list from an iterable?,reversed,filter,max,sorted,sorted
Builtins,Beginner,Which built-in function returns the absolute value of a number?,len,map,sorted,abs,abs
Builtins,Beginner,Which built-in function converts a value to a string?,min,str,help,len,str
Builtins,Beginner,Which built-in function aggregates elements from multiple iterables?,str,zip,tuple,map,zip
Builtins,Beginner,Which built-in function creates a set object?,print,any,set,filter,set
Builtins,Beginner,Which built-in function applies a function to all items?,map,zip,min,abs,map
Builtins,Beginner,Which built-in function returns the absolute value of a number?,sorted,list,abs,any,abs
Builtins,Beginner,Which built-in function converts a value to a float?,map,int,len,float,float
Builtins,Beginner,Which built-in function adds indexes to an iterable?,dict,enumerate,print,float,enumerate
Builtins,Beginner,Which built-in function converts a value to an integer?,zip,int,str,open,int
Builtins,Beginner,Which built-in function aggregates elements from multiple iterables?,zip,min,open,str,zip
Builtins,Beginner,Which built-in function creates a sequence of numbers?,abs,range,map,float,range
Builtins,Beginner,Which built-in function creates a dictionary object?,abs,open,dict,int,dict
Builtins,Beginner,Which built-in function adds indexes to an iterable?,all,enumerate,help,sorted,enumerate
Builtins,Beginner,Which built-in function returns the length of an object?,min,dict,len,filter,len
Builtins,Beginner,Which built-in function filters items based on a function?,filter,len,str,max,filter
Builtins,Beginner,Which built-in function opens a file?,zip,open,reversed,sum,open
Builtins,Beginner,Which built-in function creates a dictionary object?,str,any,enumerate,dict,dict
Builtins,Beginner,Which built-in function aggregates elements from multiple iterables?,sorted,tuple,max,zip,zip
Builtins,Beginner,Which built-in function converts a value to a string?,str,open,help,sorted,str
Builtins,Beginner,Which built-in function returns the smallest item?,str,abs,list,min,min
Builtins,Beginner,Which built-in function returns the largest item?,sum,str,max,len,max
Builtins,Beginner,Which built-in function returns the smallest item?,sorted,min,tuple,int,min
Builtins,Beginner,Which built-in function returns True if any element is true?,enumerate,any,list,help,any
Builtins,Beginner,Which built-in function returns a sorted list from an iterable?,sorted,min,float,all,sorted
Builtins,Beginner,Which built-in function creates a tuple object?,max,tuple,all,str,tuple
Builtins,Beginner,Which built-in function applies a function to all items?,map,min,any,dict,map
Builtins,Beginner,Which built-in function invokes the built-in help system?,list,help,sum,abs,help
Builtins,Beginner,Which built-in function invokes the built-in help system?,set,help,int,enumerate,help
Builtins,Beginner,Which built-in function returns a reverse iterator?,reversed,list,any,zip,reversed
Builtins,Beginner,Which built-in function creates a set object?,range,float,set,list,set
Builtins,Beginner,Which built-in function returns the largest item?,abs,sum,sorted,max,max
Builtins,Beginner,Which built-in function creates a list object?,list,help,filter,any,list
Builtins,Beginner,Which built-in function adds indexes to an iterable?,str,int,enumerate,range,enumerate
Builtins,Beginner,Which built-in function filters items based on a function?,filter,min,int,max,filter
Builtins,Beginner,Which built-in function creates a dictionary object?,open,dict,str,list,dict
Builtins,Beginner,Which built-in function converts a value to a float?,any,help,float,filter,float
Builtins,Beginner,Which built-in function returns the length of an object?,filter,open,str,len,len
Builtins,Beginner,Which built-in function returns a reverse iterator?,list,reversed,bool,float,reversed
Builtins,Beginner,Which built-in function converts a value to an integer?,tuple,bool,min,int,int
Builtins,Beginner,Which built-in function converts a value to a float?,open,tuple,filter,float,float
Builtins,Beginner,Which built-in function returns True if any element is true?,any,min,reversed,all,any
Builtins,Beginner,Which built-in function creates a tuple object?,help,enumerate,any,tuple,tuple
Builtins,Beginner,Which built-in function adds items in an iterable?,sum,enumerate,help,sorted,sum
Builtins,Beginner,Which built-in function returns the absolute value of a number?,dict,max,len,abs,abs
Builtins,Beginner,Which built-in function creates a dictionary object?,any,str,dict,enumerate,dict
Builtins,Beginner,Which built-in function applies a function to all items?,open,map,sum,min,map
Builtins,Beginner,Which built-in function creates a dictionary object?,int,all,dict,print,dict
Builtins,Beginner,Which built-in function returns the length of an object?,len,sorted,help,max,len
Builtins,Beginner,Which built-in function converts a value to a float?,print,str,float,int,float
Builtins,Beginner,Which built-in function creates a sequence of numbers?,sum,enumerate,any,range,range
Builtins,Beginner,Which built-in function creates a tuple object?,sorted,list,bool,tuple,tuple
Builtins,Beginner,Which built-in function returns a reverse iterator?,abs,bool,int,reversed,reversed
Builtins,Beginner,Which built-in function creates a dictionary object?,dict,float,abs,filter,dict
Builtins,Beginner,Which built-in function invokes the built-in help system?,help,any,zip,int,help
Builtins,Beginner,Which built-in function aggregates elements from multiple iterables?,filter,zip,sorted,bool,zip
Builtins,Beginner,Which built-in function applies a function to all items?,map,zip,print,abs,map
Builtins,Beginner,Which built-in function opens a file?,int,sum,abs,open,open
Builtins,Beginner,Which built-in function converts a value to boolean?,bool,sorted,map,all,bool
Builtins,Beginner,Which built-in function converts a value to a string?,float,max,str,abs,str
Builtins,Beginner,Which built-in function returns the length of an object?,map,help,len,bool,len
Builtins,Beginner,Which built-in function filters items based on a function?,filter,range,help,float,filter
Builtins,Beginner,Which built-in function converts a value to a string?,print,str,open,help,str
Builtins,Beginner,Which built-in function converts a value to boolean?,dict,sum,tuple,bool,bool
Builtins,Beginner,Which built-in function creates a sequence of numbers?,bool,zip,range,tuple,range
Builtins,Beginner,Which built-in function outputs text to the console?,tuple,bool,print,dict,print
Builtins,Beginner,Which built-in function returns the smallest item?,open,range,bool,min,min
Builtins,Beginner,Which built-in function returns the smallest item?,min,enumerate,any,map,min
Builtins,Beginner,Which built-in function converts a value to a string?,str,print,bool,list,str
Builtins,Beginner,Which built-in function creates a sequence of numbers?,reversed,open,map,range,range
Builtins,Beginner,Which built-in function filters items based on a function?,open,help,filter,any,filter
Builtins,Beginner,Which built-in function returns a reverse iterator?,zip,print,range,reversed,reversed
Builtins,Beginner,Which built-in function opens a file?,help,tuple,max,open,open
Builtins,Beginner,Which built-in function adds items in an iterable?,any,int,map,sum,sum
Builtins,Beginner,Which built-in function creates a tuple object?,tuple,max,set,filter,tuple
Builtins,Beginner,Which built-in function converts a value to a string?,dict,bool,str,sum,str
Builtins,Beginner,Which built-in function returns the absolute value of a number?,list,abs,map,tuple,abs
Builtins,Beginner,Which built-in function creates a list object?,bool,sum,list,all,list
Builtins,Beginner,Which built-in function converts a value to an integer?,dict,enumerate,zip,int,int
Builtins,Beginner,Which built-in function converts a value to a float?,list,max,float,enumerate,float
Builtins,Beginner,Which built-in function adds items in an iterable?,help,sum,sorted,open,sum
Builtins,Beginner,Which built-in function invokes the built-in help system?,list,help,min,open,help
Builtins,Beginner,Which built-in function returns the absolute value of a number?,abs,tuple,any,map,abs
Builtins,Beginner,Which built-in function applies a function to all items?,set,map,any,range,map
Builtins,Beginner,Which built-in function converts a value to boolean?,filter,bool,print,set,bool
Builtins,Beginner,Which built-in function converts a value to boolean?,float,bool,all,enumerate,bool
Builtins,Beginner,Which built-in function returns True if all elements are true?,enumerate,dict,all,open,all
Builtins,Beginner,Which built-in function opens a file?,help,float,max,open,open
Builtins,Beginner,Which built-in function converts a value to a string?,any,filter,str,sum,str
Builtins,Beginner,Which built-in function applies a function to all items?,len,dict,min,map,map
Builtins,Beginner,Which built-in function creates a tuple object?,any,sum,tuple,str,tuple
Builtins,Beginner,Which built-in function outputs text to the console?,reversed,print,dict,any,print
Builtins,Beginner,Which built-in function converts a value to a float?,open,filter,help,float,float
Builtins,Beginner,Which built-in function returns a reverse iterator?,str,list,filter,reversed,reversed
Builtins,Beginner,Which built-in function creates a sequence of numbers?,dict,str,range,sum,range
Builtins,Beginner,Which built-in function returns a reverse iterator?,reversed,help,print,open,reversed
Builtins,Beginner,Which built-in function converts a value to a float?,any,enumerate,float,open,float
Builtins,Beginner,Which built-in function creates a sequence of numbers?,open,range,tuple,max,range
Builtins,Beginner,Which built-in function filters items based on a function?,tuple,dict,set,filter,filter
Builtins,Beginner,Which built-in function invokes the built-in help system?,print,help,str,max,help
Builtins,Beginner,Which built-in function returns the absolute value of a number?,tuple,list,map,abs,abs
Builtins,Beginner,Which built-in function creates a tuple object?,min,max,str,tuple,tuple
Builtins,Beginner,Which built-in function invokes the built-in help system?,print,help,len,range,help
Builtins,Beginner,Which built-in function returns True if any element is true?,sorted,bool,any,abs,any
Builtins,Beginner,Which built-in function converts a value to a string?,str,set,all,sum,str
Builtins,Beginner,Which built-in function creates a dictionary object?,tuple,dict,float,map,dict
Builtins,Beginner,Which built-in function converts a value to a string?,sorted,str,max,len,str
Builtins,Beginner,Which built-in function adds items in an iterable?,sorted,sum,float,tuple,sum
Builtins,Beginner,Which built-in function opens a file?,open,range,int,any,open
Builtins,Beginner,Which built-in function converts a value to a float?,all,filter,min,float,float
Builtins,Beginner,Which built-in function converts a value to boolean?,max,sum,set,bool,bool
Builtins,Beginner,Which built-in function converts a value to a float?,open,float,max,str,float
Builtins,Beginner,Which built-in function returns True if any element is true?,sum,zip,any,all,any
Builtins,Beginner,Which built-in function creates a sequence of numbers?,tuple,enumerate,sum,range,range
Builtins,Beginner,Which built-in function creates a sequence of numbers?,range,print,map,str,range
Builtins,Beginner,Which built-in function adds items in an iterable?,enumerate,abs,reversed,sum,sum
Builtins,Beginner,Which built-in function filters items based on a function?,filter,print,set,min,filter
Builtins,Beginner,Which built-in function outputs text to the console?,print,set,open,filter,print
Booleans,Beginner,What is True and True?,True,False,False,True,True
Booleans,Beginner,What is True and False?,False,False,True,True,False
Booleans,Beginner,What is False and True?,False,False,True,True,False
Booleans,Beginner,What is True and False?,True,True,False,False,False
Booleans,Beginner,What is True and False?,False,True,False,True,False
Booleans,Beginner,What is False and False?,False,True,False,True,False
Booleans,Beginner,What is True and False?,True,False,True,False,False
Booleans,Beginner,What is False and True?,True,True,False,False,False
Booleans,Beginner,What is True and True?,False,True,False,True,True
Booleans,Beginner,What is False and True?,True,False,True,False,False
Booleans,Beginner,What is False and False?,True,True,False,False,False
Booleans,Beginner,What is True and True?,True,True,False,False,True
Booleans,Beginner,What is True and True?,True,False,True,False,True
Booleans,Beginner,What is True and True?,False,True,True,False,True
Booleans,Beginner,What is True and False?,False,False,True,True,False
Booleans,Beginner,What is False and True?,True,False,False,True,False
Booleans,Beginner,What is True and False?,False,True,True,False,False
Booleans,Beginner,What is False and True?,False,True,True,False,False
Booleans,Beginner,What is True and False?,True,False,True,False,False
Booleans,Beginner,What is True and False?,True,True,False,False,False
Booleans,Beginner,What is False and False?,False,True,False,True,False
Booleans,Beginner,What is False and True?,True,False,True,False,False
Booleans,Beginner,What is True and False?,True,False,False,True,False
Booleans,Beginner,What is True and False?,False,True,True,False,False
Booleans,Beginner,What is True and False?,False,False,True,True,False
Booleans,Beginner,What is False and False?,True,False,False,True,False
Booleans,Beginner,What is False and True?,False,True,True,False,False
Booleans,Beginner,What is True and True?,True,True,False,False,True
Booleans,Beginner,What is True and False?,True,False,False,True,False
Booleans,Beginner,What is False and True?,False,True,False,True,False
Booleans,Beginner,What is False and True?,False,False,True,True,False
Booleans,Beginner,What is False and False?,True,True,False,False,False
Booleans,Beginner,What is False and True?,False,False,True,True,False
Booleans,Beginner,What is True and True?,True,False,False,True,True
Booleans,Beginner,What is True and False?,True,True,False,False,False
Booleans,Beginner,What is True and False?,True,False,False,True,False
Booleans,Beginner,What is False and False?,False,True,False,True,False
Booleans,Beginner,What is True and False?,True,False,False,True,False
Booleans,Beginner,What is True and True?,False,True,True,False,True
Booleans,Beginner,What is True and False?,False,False,True,True,False
Booleans,Beginner,What is True and True?,False,False,True,True,True
Booleans,Beginner,What is True and False?,False,True,True,False,False
Booleans,Beginner,What is True and False?,True,True,False,False,False
Booleans,Beginner,What is True and True?,True,False,True,False,True
Booleans,Beginner,What is True and True?,True,False,True,False,True
Booleans,Beginner,What is True and False?,False,True,True,False,False
Booleans,Beginner,What is False and False?,False,True,False,True,False
Booleans,Beginner,What is True and False?,True,False,True,False,False
Booleans,Beginner,What is True and True?,False,True,True,False,True
Booleans,Beginner,What is False and False?,True,True,False,False,False
Booleans,Beginner,What is False and False?,False,True,False,True,False
Booleans,Beginner,What is True and True?,True,False,False,True,True
Booleans,Beginner,What is False and False?,False,False,True,True,False
Booleans,Beginner,What is True and False?,False,True,False,True,False
Booleans,Beginner,What is True and True?,False,True,False,True,True
Booleans,Beginner,What is True and True?,True,False,False,True,True
Booleans,Beginner,What is True and True?,True,False,True,False,True
Booleans,Beginner,What is True and True?,True,False,False,True,True
Booleans,Beginner,What is False and False?,False,True,False,True,False
Booleans,Beginner,What is True and False?,True,False,True,False,False
Booleans,Beginner,What is True and True?,True,True,False,False,True
Booleans,Beginner,What is False and True?,True,False,True,False,False
Booleans,Beginner,What is False and False?,True,False,True,False,False
Booleans,Beginner,What is False and False?,False,False,True,True,False
Booleans,Beginner,What is True and True?,True,False,False,True,True
Booleans,Beginner,What is True and False?,True,False,True,False,False
Booleans,Beginner,What is False and False?,False,True,True,False,False
Booleans,Beginner,What is True and True?,True,False,True,False,True
Booleans,Beginner,What is False and True?,True,False,False,True,False
Booleans,Beginner,What is True and True?,False,True,False,True,True
Booleans,Beginner,What is False and False?,True,False,True,False,False
Booleans,Beginner,What is True and False?,True,False,True,False,False
Booleans,Beginner,What is True and False?,False,True,False,True,False
Booleans,Beginner,What is True and False?,True,True,False,False,False
Booleans,Beginner,What is False and False?,True,False,True,False,False
Booleans,Beginner,What is False and False?,False,True,True,False,False
Booleans,Beginner,What is True and False?,False,True,False,True,False
Booleans,Beginner,What is False and True?,True,True,False,False,False
Booleans,Beginner,What is True and False?,True,False,False,True,False
Booleans,Beginner,What is False and True?,False,True,False,True,False
Booleans,Beginner,What is True and True?,True,True,False,False,True
Booleans,Beginner,What is True and True?,False,False,True,True,True
Booleans,Beginner,What is False and False?,False,True,True,False,False
Booleans,Beginner,What is True and True?,False,True,True,False,True
Booleans,Beginner,What is True and True?,True,False,False,True,True
Booleans,Beginner,What is True and False?,True,False,False,True,False
Booleans,Beginner,What is True and True?,True,True,False,False,True
Booleans,Beginner,What is True and True?,True,True,False,False,True
Booleans,Beginner,What is True and False?,True,False,True,False,False
Booleans,Beginner,What is True and True?,True,True,False,False,True
Booleans,Beginner,What is True and True?,False,True,False,True,True
Booleans,Beginner,What is True and False?,True,False,False,True,False
Booleans,Beginner,What is True and True?,False,True,True,False,True
Booleans,Beginner,What is False and False?,False,True,True,False,False
Booleans,Beginner,What is True and False?,True,False,False,True,False
Booleans,Beginner,What is True and False?,True,True,False,False,False
Booleans,Beginner,What is True and False?,True,False,True,False,False
Booleans,Beginner,What is True and False?,True,False,True,False,False
Booleans,Beginner,What is False and True?,False,True,False,True,False
Booleans,Beginner,What is False and True?,False,False,True,True,False
Functions,Intermediate,Which keyword defines a function that takes y?,class,lambda,func,def,def
Functions,Intermediate,Which keyword defines a function that takes x?,func,class,def,lambda,def
Functions,Intermediate,Which keyword defines a function that takes y?,class,lambda,def,func,def
Functions,Intermediate,Which keyword defines a function that takes y?,class,func,def,lambda,def
Functions,Intermediate,Which keyword defines a function that takes y?,lambda,func,def,class,def
Functions,Intermediate,Which keyword defines a function that takes y?,def,func,class,lambda,def
Functions,Intermediate,Which keyword defines a function that takes y?,def,class,lambda,func,def
Functions,Intermediate,Which keyword defines a function that takes x?,def,lambda,func,class,def
Functions,Intermediate,Which keyword defines a function that takes y?,class,def,lambda,func,def
Functions,Intermediate,Which keyword defines a function that takes y?,func,class,lambda,def,def
Functions,Intermediate,Which keyword defines a function that takes x?,lambda,class,func,def,def
Functions,Intermediate,Which keyword defines a function that takes x?,lambda,func,def,class,def
Functions,Intermediate,Which keyword defines a function that takes y?,func,lambda,def,class,def
Functions,Intermediate,Which keyword defines a function that takes y?,func,class,def,lambda,def
Functions,Intermediate,Which keyword defines a function that takes y?,def,func,lambda,class,def
Functions,Intermediate,Which keyword defines a function that takes x?,func,lambda,def,class,def
Functions,Intermediate,Which keyword defines a function that takes x?,class,func,lambda,def,def
Functions,Intermediate,Which keyword defines a function that takes y?,func,class,lambda,def,def
Functions,Intermediate,Which keyword defines a function that takes y?,class,func,lambda,def,def
Functions,Intermediate,Which keyword defines a function that takes x?,class,def,lambda,func,def
Functions,Intermediate,Which keyword defines a function that takes x?,lambda,def,func,class,def
Functions,Intermediate,Which keyword defines a function that takes x?,func,lambda,def,class,def
Functions,Intermediate,Which keyword defines a function that takes y?,lambda,func,def,class,def
Functions,Intermediate,Which keyword defines a function that takes x?,def,func,class,lambda,def
Functions,Intermediate,Which keyword defines a function that takes y?,class,def,lambda,func,def
Functions,Intermediate,Which keyword defines a function that takes y?,class,lambda,func,def,def
Functions,Intermediate,Which keyword defines a function that takes x?,func,def,lambda,class,def
Functions,Intermediate,Which keyword defines a function that takes x?,def,lambda,class,func,def
Functions,Intermediate,Which keyword defines a function that takes y?,class,def,func,lambda,def
Functions,Intermediate,Which keyword defines a function that takes y?,lambda,def,func,class,def
Functions,Intermediate,Which keyword defines a function that takes y?,func,def,lambda,class,def
Functions,Intermediate,Which keyword defines a function that takes y?,lambda,class,func,def,def
Functions,Intermediate,Which keyword defines a function that takes x?,func,class,lambda,def,def
Functions,Intermediate,Which keyword defines a function that takes y?,def,class,func,lambda,def
Functions,Intermediate,Which keyword defines a function that takes y?,lambda,func,def,class,def
Functions,Intermediate,Which keyword defines a function that takes y?,lambda,def,func,class,def
Functions,Intermediate,Which keyword defines a function that takes x?,func,lambda,class,def,def
Functions,Intermediate,Which keyword defines a function that takes x?,lambda,def,func,class,def
Functions,Intermediate,Which keyword defines a function that takes x?,class,lambda,func,def,def
Functions,Intermediate,Which keyword defines a function that takes y?,func,def,lambda,class,def
Functions,Intermediate,Which keyword defines a function that takes x?,lambda,def,func,class,def
Functions,Intermediate,Which keyword defines a function that takes x?,class,lambda,def,func,def
Functions,Intermediate,Which keyword defines a function that takes y?,lambda,func,class,def,def
Functions,Intermediate,Which keyword defines a function that takes y?,func,def,class,lambda,def
Functions,Intermediate,Which keyword defines a function that takes y?,def,class,lambda,func,def
Functions,Intermediate,Which keyword defines a function that takes x?,func,lambda,class,def,def
Functions,Intermediate,Which keyword defines a function that takes x?,lambda,func,def,class,def
Functions,Intermediate,Which keyword defines a function that takes y?,lambda,func,class,def,def
Functions,Intermediate,Which keyword defines a function that takes x?,class,lambda,def,func,def
Functions,Intermediate,Which keyword defines a function that takes x?,func,def,lambda,class,def
Functions,Intermediate,Which keyword defines a function that takes x?,func,def,class,lambda,def
Functions,Intermediate,Which keyword defines a function that takes y?,def,func,class,lambda,def
Functions,Intermediate,Which keyword defines a function that takes x?,class,lambda,def,func,def
Functions,Intermediate,Which keyword defines a function that takes x?,def,func,lambda,class,def
Functions,Intermediate,Which keyword defines a function that takes x?,lambda,class,func,def,def
Functions,Intermediate,Which keyword defines a function that takes x?,lambda,class,def,func,def
Functions,Intermediate,Which keyword defines a function that takes y?,lambda,def,func,class,def
Functions,Intermediate,Which keyword defines a function that takes x?,def,class,func,lambda,def
Functions,Intermediate,Which keyword defines a function that takes y?,class,lambda,func,def,def
Functions,Intermediate,Which keyword defines a function that takes y?,def,func,class,lambda,def
Functions,Intermediate,Which keyword defines a function that takes y?,lambda,func,def,class,def
Functions,Intermediate,Which keyword defines a function that takes x?,def,func,class,lambda,def
Functions,Intermediate,Which keyword defines a function that takes y?,def,lambda,func,class,def
Functions,Intermediate,Which keyword defines a function that takes y?,func,class,def,lambda,def
Functions,Intermediate,Which keyword defines a function that takes y?,class,def,func,lambda,def
Functions,Intermediate,Which keyword defines a function that takes x?,func,def,lambda,class,def
Functions,Intermediate,Which keyword defines a function that takes x?,func,lambda,class,def,def
Functions,Intermediate,Which keyword defines a function that takes x?,class,lambda,def,func,def
Functions,Intermediate,Which keyword defines a function that takes y?,class,def,lambda,func,def
Functions,Intermediate,Which keyword defines a function that takes y?,def,lambda,class,func,def
Functions,Intermediate,Which keyword defines a function that takes x?,class,lambda,func,def,def
Functions,Intermediate,Which keyword defines a function that takes y?,lambda,class,def,func,def
Functions,Intermediate,Which keyword defines a function that takes y?,func,lambda,class,def,def
Functions,Intermediate,Which keyword defines a function that takes y?,def,func,lambda,class,def
Functions,Intermediate,Which keyword defines a function that takes x?,func,def,class,lambda,def
Functions,Intermediate,Which keyword defines a function that takes x?,class,lambda,def,func,def
Functions,Intermediate,Which keyword defines a function that takes y?,func,class,lambda,def,def
Functions,Intermediate,Which keyword defines a function that takes x?,def,func,class,lambda,def
Functions,Intermediate,Which keyword defines a function that takes x?,class,lambda,func,def,def
Functions,Intermediate,Which keyword defines a function that takes y?,func,def,class,lambda,def
Functions,Intermediate,Which keyword defines a function that takes x?,lambda,func,def,class,def
Functions,Intermediate,Which keyword defines a function that takes y?,func,lambda,class,def,def
Functions,Intermediate,Which keyword defines a function that takes y?,def,func,lambda,class,def
